fmid,ts,status,enrolled,waitlist
350202102,2026-05-11T08:00:08+00:00,Unavailable,,
350202113,2026-05-11T08:00:08+00:00,Unavailable,,
350202124,2026-05-11T08:00:08+00:00,Unavailable,,
350202135,2026-05-11T08:00:08+00:00,Unavailable,,
350202146,2026-05-11T08:00:08+00:00,Unavailable,,
350202157,2026-05-11T08:00:08+00:00,Unavailable,,
350202168,2026-05-11T08:00:08+00:00,Unavailable,,
350202180,2026-05-11T08:00:08+00:00,Unavailable,,
350202191,2026-05-11T08:00:08+00:00,Unavailable,,
350202202,2026-05-11T08:00:08+00:00,Unavailable,,
350202213,2026-05-11T08:00:08+00:00,Unavailable,,
350202224,2026-05-11T08:00:08+00:00,Unavailable,,
350202235,2026-05-11T08:00:08+00:00,Unavailable,,
350202246,2026-05-11T08:00:08+00:00,Unavailable,,
350202257,2026-05-11T08:00:08+00:00,Unavailable,,
350202268,2026-05-11T08:00:08+00:00,Unavailable,,
350202279,2026-05-11T08:00:08+00:00,Unavailable,,
350202290,2026-05-11T08:00:08+00:00,Unavailable,,
350202301,2026-05-11T08:00:08+00:00,Unavailable,,
350202312,2026-05-11T08:00:08+00:00,Unavailable,,
350202323,2026-05-11T08:00:08+00:00,Unavailable,,
350202334,2026-05-11T08:00:08+00:00,Unavailable,,
350202347,2026-05-11T08:00:08+00:00,Unavailable,,
350202361,2026-05-11T08:00:08+00:00,Unavailable,,
350202372,2026-05-11T08:00:08+00:00,Unavailable,,
350202383,2026-05-11T08:00:08+00:00,Unavailable,,
350202394,2026-05-11T08:00:08+00:00,Unavailable,,
350202406,2026-05-11T08:00:08+00:00,Unavailable,,
350202417,2026-05-11T08:00:08+00:00,Unavailable,,
350202429,2026-05-11T08:00:08+00:00,Unavailable,,
350202440,2026-05-11T08:00:08+00:00,Unavailable,,
350202451,2026-05-11T08:00:08+00:00,Unavailable,,
350202462,2026-05-11T08:00:08+00:00,Unavailable,,
350202473,2026-05-11T08:00:08+00:00,Unavailable,,
350202484,2026-05-11T08:00:08+00:00,Unavailable,,
350202495,2026-05-11T08:00:08+00:00,Unavailable,,
350202506,2026-05-11T08:00:08+00:00,Unavailable,,
350202517,2026-05-11T08:00:08+00:00,Unavailable,,
350202528,2026-05-11T08:00:08+00:00,Unavailable,,
350202539,2026-05-11T08:00:08+00:00,Unavailable,,
350202551,2026-05-11T08:00:08+00:00,Unavailable,,
350202562,2026-05-11T08:00:08+00:00,Unavailable,,
350202573,2026-05-11T08:00:08+00:00,Unavailable,,
350202584,2026-05-11T08:00:08+00:00,Unavailable,,
350202595,2026-05-11T08:00:08+00:00,Unavailable,,
350202607,2026-05-11T08:00:08+00:00,Unavailable,,
350202618,2026-05-11T08:00:08+00:00,Unavailable,,
350202631,2026-05-11T08:00:08+00:00,Unavailable,,
350202642,2026-05-11T08:00:08+00:00,Unavailable,,
350202654,2026-05-11T08:00:08+00:00,Unavailable,,
350202665,2026-05-11T08:00:08+00:00,Unavailable,,
350202676,2026-05-11T08:00:08+00:00,Unavailable,,
350202687,2026-05-11T08:00:08+00:00,Unavailable,,
350202698,2026-05-11T08:00:08+00:00,Unavailable,,
350202709,2026-05-11T08:00:08+00:00,Unavailable,,
350202720,2026-05-11T08:00:08+00:00,Unavailable,,
350202731,2026-05-11T08:00:08+00:00,Unavailable,,
350202742,2026-05-11T08:00:08+00:00,Unavailable,,
350202753,2026-05-11T08:00:08+00:00,Unavailable,,
350202764,2026-05-11T08:00:08+00:00,Unavailable,,
350202775,2026-05-11T08:00:08+00:00,Unavailable,,
350202786,2026-05-11T08:00:08+00:00,Unavailable,,
350202797,2026-05-11T08:00:08+00:00,Unavailable,,
350202808,2026-05-11T08:00:08+00:00,Unavailable,,
350202819,2026-05-11T08:00:08+00:00,Unavailable,,
350202830,2026-05-11T08:00:08+00:00,Unavailable,,
350202841,2026-05-11T08:00:08+00:00,Unavailable,,
350202852,2026-05-11T08:00:08+00:00,Unavailable,,
350202863,2026-05-11T08:00:08+00:00,Unavailable,,
350202874,2026-05-11T08:00:08+00:00,Unavailable,,
350202885,2026-05-11T08:00:08+00:00,Unavailable,,
350202896,2026-05-11T08:00:08+00:00,Unavailable,,
350202908,2026-05-11T08:00:08+00:00,Unavailable,,
350202919,2026-05-11T08:00:08+00:00,Unavailable,,
350202930,2026-05-11T08:00:08+00:00,Unavailable,,
350202941,2026-05-11T08:00:08+00:00,Unavailable,,
350202952,2026-05-11T08:00:08+00:00,Unavailable,,
350202963,2026-05-11T08:00:08+00:00,Unavailable,,
350202974,2026-05-11T08:00:08+00:00,Unavailable,,
350202985,2026-05-11T08:00:08+00:00,Unavailable,,
350202996,2026-05-11T08:00:08+00:00,Unavailable,,
350203007,2026-05-11T08:00:08+00:00,Unavailable,,
350203018,2026-05-11T08:00:08+00:00,Unavailable,,
350203029,2026-05-11T08:00:08+00:00,Unavailable,,
350203040,2026-05-11T08:00:08+00:00,Unavailable,,
350203051,2026-05-11T08:00:08+00:00,Unavailable,,
350203062,2026-05-11T08:00:08+00:00,Unavailable,,
350203073,2026-05-11T08:00:08+00:00,Unavailable,,
350203084,2026-05-11T08:00:08+00:00,Unavailable,,
350203095,2026-05-11T08:00:08+00:00,Unavailable,,
350203106,2026-05-11T08:00:08+00:00,Unavailable,,
